Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,6,130,5,Some Random Commen with Id 0
1,2,8,154,6,Some Random Commen with Id 1
2,3,5,175,0,Some Random Commen with Id 2
3,5,2,87,6,Some Random Commen with Id 3
4,5,2,70,4,Some Random Commen with Id 4
5,5,2,128,7,Some Random Commen with Id 5
6,5,2,128,8,Some Random Commen with Id 6
7,6,7,129,8,Some Random Commen with Id 7
8,6,7,109,4,Some Random Commen with Id 8
9,6,7,109,3,Some Random Commen with Id 9
10,6,7,23,6,Some Random Commen with Id 10
11,6,7,57,6,Some Random Commen with Id 11
12,6,7,172,5,Some Random Commen with Id 12
13,6,7,175,4,Some Random Commen with Id 13
14,6,7,146,8,Some Random Commen with Id 14
15,8,6,45,9,Some Random Commen with Id 15
16,8,6,32,7,Some Random Commen with Id 16
17,8,6,38,9,Some Random Commen with Id 17
18,8,6,12,7,Some Random Commen with Id 18
19,8,6,163,7,Some Random Commen with Id 19
20,8,6,153,3,Some Random Commen with Id 20
21,8,6,153,7,Some Random Commen with Id 21
22,8,6,176,3,Some Random Commen with Id 22
23,9,2,113,4,Some Random Commen with Id 23
24,9,2,186,0,Some Random Commen with Id 24
25,9,2,51,0,Some Random Commen with Id 25
26,9,2,96,0,Some Random Commen with Id 26
27,9,2,93,8,Some Random Commen with Id 27
28,9,2,119,7,Some Random Commen with Id 28
29,10,7,150,2,Some Random Commen with Id 29
30,10,7,149,7,Some Random Commen with Id 30
31,10,7,51,0,Some Random Commen with Id 31
32,10,7,33,1,Some Random Commen with Id 32
33,11,9,160,5,Some Random Commen with Id 33
34,11,9,62,6,Some Random Commen with Id 34
35,11,9,165,5,Some Random Commen with Id 35
36,11,9,185,1,Some Random Commen with Id 36
37,11,9,18,7,Some Random Commen with Id 37
38,11,9,51,4,Some Random Commen with Id 38
39,12,5,89,0,Some Random Commen with Id 39
40,12,5,32,1,Some Random Commen with Id 40
41,12,5,53,6,Some Random Commen with Id 41
42,12,5,142,4,Some Random Commen with Id 42
43,12,5,144,4,Some Random Commen with Id 43
44,12,5,41,5,Some Random Commen with Id 44
45,12,5,136,2,Some Random Commen with Id 45
46,13,5,69,6,Some Random Commen with Id 46
47,13,5,63,1,Some Random Commen with Id 47
48,13,5,166,0,Some Random Commen with Id 48
49,13,5,63,9,Some Random Commen with Id 49
50,14,5,52,9,Some Random Commen with Id 50
51,14,5,71,0,Some Random Commen with Id 51
52,15,3,109,7,Some Random Commen with Id 52
53,15,3,21,3,Some Random Commen with Id 53
54,15,3,159,2,Some Random Commen with Id 54
55,15,3,48,5,Some Random Commen with Id 55
56,15,3,15,2,Some Random Commen with Id 56
57,15,3,10,2,Some Random Commen with Id 57
58,15,3,187,9,Some Random Commen with Id 58
59,16,6,69,3,Some Random Commen with Id 59
60,16,6,11,4,Some Random Commen with Id 60
61,16,6,147,1,Some Random Commen with Id 61
62,16,6,3,5,Some Random Commen with Id 62
63,17,9,28,2,Some Random Commen with Id 63
64,18,7,167,6,Some Random Commen with Id 64
65,18,7,160,3,Some Random Commen with Id 65
66,18,7,177,8,Some Random Commen with Id 66
67,18,7,41,1,Some Random Commen with Id 67
68,18,7,94,8,Some Random Commen with Id 68
69,18,7,70,9,Some Random Commen with Id 69
70,18,7,130,8,Some Random Commen with Id 70
71,19,1,55,5,Some Random Commen with Id 71
72,19,1,157,7,Some Random Commen with Id 72
73,19,1,56,1,Some Random Commen with Id 73
74,20,1,187,8,Some Random Commen with Id 74
75,21,6,189,4,Some Random Commen with Id 75
76,21,6,175,4,Some Random Commen with Id 76
77,21,6,192,7,Some Random Commen with Id 77
78,21,6,72,9,Some Random Commen with Id 78
79,21,6,32,9,Some Random Commen with Id 79
80,21,6,183,4,Some Random Commen with Id 80
81,21,6,163,1,Some Random Commen with Id 81
82,21,6,81,3,Some Random Commen with Id 82
83,22,0,127,5,Some Random Commen with Id 83
84,22,0,28,0,Some Random Commen with Id 84
85,22,0,76,3,Some Random Commen with Id 85
86,22,0,81,6,Some Random Commen with Id 86
87,22,0,128,6,Some Random Commen with Id 87
88,22,0,165,7,Some Random Commen with Id 88
89,23,1,197,1,Some Random Commen with Id 89
90,23,1,92,5,Some Random Commen with Id 90
91,23,1,107,1,Some Random Commen with Id 91
92,23,1,150,5,Some Random Commen with Id 92
93,23,1,13,9,Some Random Commen with Id 93
94,23,1,141,4,Some Random Commen with Id 94
95,23,1,115,1,Some Random Commen with Id 95
96,23,1,118,9,Some Random Commen with Id 96
97,24,8,193,5,Some Random Commen with Id 97
98,24,8,77,0,Some Random Commen with Id 98
99,24,8,180,7,Some Random Commen with Id 99
100,24,8,156,5,Some Random Commen with Id 100
101,24,8,8,5,Some Random Commen with Id 101
102,25,9,177,1,Some Random Commen with Id 102
103,25,9,134,5,Some Random Commen with Id 103
104,25,9,67,1,Some Random Commen with Id 104
105,25,9,20,6,Some Random Commen with Id 105
106,25,9,8,4,Some Random Commen with Id 106
107,25,9,61,6,Some Random Commen with Id 107
108,25,9,183,2,Some Random Commen with Id 108
109,25,9,114,9,Some Random Commen with Id 109
110,26,2,17,4,Some Random Commen with Id 110
111,26,2,64,9,Some Random Commen with Id 111
112,26,2,119,6,Some Random Commen with Id 112
113,27,1,51,3,Some Random Commen with Id 113
114,27,1,6,8,Some Random Commen with Id 114
115,27,1,173,6,Some Random Commen with Id 115
116,27,1,81,1,Some Random Commen with Id 116
117,28,1,10,4,Some Random Commen with Id 117
118,28,1,128,7,Some Random Commen with Id 118
119,28,1,18,3,Some Random Commen with Id 119
120,28,1,20,6,Some Random Commen with Id 120
